Species,Code,SpeciesCode,Pulp Density (%),Day,pH,pH STDEV,Mg (mg/L),Mg STDEV,Mg/d (mg/L-d),(1/pH)-d,Mg/Pulp Density (mg/L-Pulp Density)
PS 2%,Ps2,Ps,2,1,7.1,0.298663690461362,39.4341666666667,5.39386024136087,39.4341666666667,0.140845070422535,19.7170833333333
PS 2%,Ps2,Ps,2,2,4.71666666666667,0.168621864932557,135.016433333333,51.0198988554792,67.5082166666667,0.424028268551237,67.5082166666667
PS 2%,Ps2,Ps,2,3,4.29333333333333,0.0450924975282289,417.6889,44.9103132795798,139.229633333333,0.698757763975155,208.84445
PS 2%,Ps2,Ps,2,4,4.12666666666667,0.0305505046330392,762.181333333333,18.0419747246063,190.545333333333,0.969305331179322,381.090666666667
PS 2%,Ps2,Ps,2,5,4.08,0.03605551275464,907.0775,14.9332674492222,181.4155,1.22549019607843,453.53875
PS 3%,Ps3,Ps,3,0,7.67666666666667,0.0680685928555409,18.4368,0.78597963714081
PS 3%,Ps3,Ps,3,1,7.43333333333333,0.0115470053837928,44.5123,1.74138587337787,44.5123,0.134529147982063,14.8374333333333
PS 3%,Ps3,Ps,3,2,6.32666666666667,0.246644143115813,77.3461666666667,1.19256874155469,38.6730833333333,0.316122233930453,25.7820555555556
PS 3%,Ps3,Ps,3,3,5.26,0.04,223.9019,36.6458195447995,74.6339666666667,0.570342205323194,74.6339666666667
PS 3%,Ps3,Ps,3,4,4.44333333333333,0.0305505046330388,452.4305,51.976521866031,113.107625,0.900225056264066,150.810166666667
PS 3%,Ps3,Ps,3,5,4.46333333333333,0.0416333199893226,628.859666666667,44.5672910077933,125.771933333333,1.12023898431665,209.619888888889
